license,sub-license,count
GPL,GNU General Public License v2.0 or later,1714
Apache,Apache License 2.0,1943
MIT,MIT License,4247
BSD,"BSD 2-clause ""Simplified"" License",457
GPL,GNU General Public License v2.0,468
Zlib,zlib License,96
LGPL,GNU Lesser General Public License v2.1 or later,273
LGPL,GNU Lesser General Public License v3.0 or later,124
LGPL,GNU Lesser General Public License v2.1,170
LGPL,GNU Library General Public License v2,65
OFL,SIL Open Font License 1.1,250
FSL,"Functional Source License, Version 1.1, Apache 2.0 Future License",1
GPL,GNU General Public License v2.0 only,721
GPL,GNU General Public License v3.0 or later,1474
MPL,Mozilla Public License 2.0,257
GPL,GNU General Public License v3.0 only,907
WTFPL,Do What The F*ck You Want To Public License,32
ISC,ISC License,236
GPL,GNU General Public License v3.0,690
CC0,Creative Commons Zero v1.0 Universal,57
BSD,"BSD 3-clause ""New"" or ""Revised"" License",1053
DOC,DOC License,1
AMPAS,Academy of Motion Picture Arts and Sciences BSD,2
CECILL,CeCILL Free Software License Agreement v2.0,9
AGPL,GNU Affero General Public License v3.0 only,240
LGPL,GNU Library General Public License v2 or later,156
LGPL,GNU Lesser General Public License v2.1 only,62
BSL,Boost Software License 1.0,78
CC,Creative Commons Attribution Share Alike 3.0,12
LGPL,GNU Lesser General Public License v3.0,91
EUPL,European Union Public License 1.2,20
BSD,"BSD 4-clause ""Original"" or ""Old"" License",38
Artistic,Artistic License 2.0,22
EPL,Eclipse Public License 2.0,15
Unlicense,The Unlicense,89
Giftware,Giftware License,2
AGPL,GNU Affero General Public License v3.0 or later,178
LGPL,GNU Lesser General Public License v3.0 only,72
SSPL,Server Side Public License,6
Bitstream,Bitstream Vera Font License,1
Arphic,Arphic Public License,3
EPL,Eclipse Public License 1.0,28
GPL,GNU General Public License v1.0 only,10
OSL,Open Software License 3.0,6
BSD,BSD 1-Clause License,5
Python,Python Software Foundation License version 2,18
Baekmuk,Baekmuk License,1
BSD,BSD-2-Clause Plus Patent License,4
0BSD,BSD Zero Clause License,22
HPND,Historic Permission Notice and Disclaimer,5
HPND,Historical Permission Notice and Disclaimer - University of California variant,2
Boehm,Boehm-Demers-Weiser GC License,1
BUSL,Business Source License 1.1,21
GFDL,GNU Free Documentation License v1.3 or later,1
CC,Creative Commons Attribution-No Derivative Works v3.00,6
CC,Creative Commons Attribution Non Commercial 4.0 International,3
X11,X11 License,5
Artistic,Artistic License 1.0,14
CECILL,CeCILL-C Free Software License Agreement,7
GPL,GNU General Public License v1.0 or later,6
Unicode,Unicode License v3,1
APSL,Apple Public Source License 2.0,8
